"Date","Price","Open","High","Low","Vol.","Change %"
"12/10/2018","18.80","18.90","19.44","18.00","4.23M","1.08%"
"12/11/2018","18.01","20.55","20.66","17.99","3.44M","-4.20%"
"12/12/2018","18.68","18.55","19.48","18.02","2.59M","3.72%"
"12/13/2018","18.76","19.25","19.29","18.68","1.61M","0.43%"
"12/14/2018","18.32","18.75","18.88","18.25","746.41K","-2.35%"
"12/17/2018","17.00","18.33","18.47","16.90","1.58M","-7.21%"
"12/18/2018","17.00","17.10","17.25","16.25","1.62M","0.00%"
"12/19/2018","16.18","16.86","17.37","16.00","941.53K","-4.82%"
"12/20/2018","15.50","16.00","16.14","14.75","2.37M","-4.20%"
"12/21/2018","14.47","15.40","15.50","13.95","2.06M","-6.65%"
"12/24/2018","14.03","14.32","14.32","13.75","665.43K","-3.04%"
"12/26/2018","13.52","14.15","14.31","13.03","1.82M","-3.64%"
"12/27/2018","14.65","13.49","14.95","13.27","1.77M","8.36%"
"12/28/2018","14.15","14.72","14.85","13.82","929.10K","-3.41%"
"12/31/2018","15.27","14.24","15.30","14.21","994.73K","7.92%"
"01/02/2019","15.33","14.93","15.45","14.51","2.32M","0.39%"
"01/03/2019","15.50","15.49","16.08","15.20","1.59M","1.11%"
"01/04/2019","16.96","16.00","17.50","15.89","1.65M","9.42%"
"01/07/2019","16.27","17.54","17.94","16.18","1.59M","-4.07%"
"01/08/2019","16.95","17.35","17.47","16.05","1.89M","4.18%"
"01/09/2019","16.33","17.20","17.25","16.15","1.19M","-3.66%"
"01/10/2019","16.48","16.36","16.51","16.00","487.28K","0.92%"
"01/11/2019","17.00","16.60","17.06","16.53","580.57K","3.16%"
"01/14/2019","16.74","17.00","17.06","16.72","612.92K","-1.53%"
"01/15/2019","16.59","17.00","17.00","16.41","468.08K","-0.90%"
"01/16/2019","16.26","16.80","16.95","16.26","272.80K","-1.99%"
"01/17/2019","16.31","16.05","16.53","16.05","315.68K","0.31%"
"01/18/2019","16.69","16.46","16.80","16.25","629.97K","2.33%"
"01/22/2019","15.56","16.62","16.63","15.35","637.01K","-6.77%"
"01/23/2019","14.79","15.59","15.92","14.76","652.60K","-4.95%"
"01/24/2019","14.64","14.90","15.20","14.64","452.91K","-1.01%"
"01/25/2019","14.91","14.80","14.92","14.40","942.27K","1.84%"
"01/28/2019","14.45","14.84","14.84","14.45","656.52K","-3.09%"
"01/29/2019","14.63","14.46","14.88","14.45","592.76K","1.25%"
"01/30/2019","15.13","14.72","15.54","14.65","758.90K","3.42%"
"01/31/2019","16.60","15.24","17.48","15.24","2.26M","9.72%"
"02/01/2019","16.22","16.80","17.01","15.90","617.27K","-2.29%"
"02/04/2019","16.27","16.22","16.49","15.95","297.82K","0.31%"
"02/05/2019","17.18","16.29","17.49","16.21","652.72K","5.59%"
"02/06/2019","18.14","17.25","18.39","17.11","1.02M","5.59%"
"02/07/2019","17.05","17.95","18.07","17.04","527.58K","-6.01%"
"02/08/2019","17.99","17.10","18.15","17.10","685.76K","5.51%"
"02/11/2019","18.17","17.99","18.65","17.75","597.97K","1.00%"
"02/12/2019","18.69","18.21","18.76","17.60","753.13K","2.86%"
"02/13/2019","18.53","18.99","19.22","18.30","1.33M","-0.86%"
"02/14/2019","19.66","18.64","19.96","18.63","1.09M","6.10%"
"02/15/2019","21.44","19.94","21.47","19.70","2.09M","9.05%"
"02/19/2019","20.83","21.51","21.51","20.05","1.20M","-2.85%"
"02/20/2019","19.92","21.12","21.24","19.13","1.16M","-4.37%"
"02/21/2019","19.34","19.74","19.98","18.88","822.63K","-2.91%"
"02/22/2019","19.88","19.35","20.04","19.35","567.61K","2.79%"
"02/25/2019","21.65","20.54","22.30","19.83","1.92M","8.90%"
"02/26/2019","23.70","21.60","24.40","21.56","2.52M","9.47%"
"02/27/2019","22.10","23.37","23.83","21.53","1.55M","-6.75%"
"02/28/2019","22.60","22.45","23.03","22.05","511.29K","2.26%"
"03/01/2019","22.27","23.09","23.39","21.64","867.39K","-1.46%"
"03/04/2019","21.12","22.47","22.80","20.52","1.13M","-5.16%"
"03/05/2019","21.37","21.18","21.49","20.29","1.09M","1.18%"
"03/06/2019","20.65","21.40","22.05","20.06","1.06M","-3.37%"
"03/07/2019","20.59","20.42","21.16","19.61","1.02M","-0.29%"
"03/08/2019","20.93","20.37","21.08","19.90","631.13K","1.65%"
"03/11/2019","20.43","20.99","20.99","19.97","915.64K","-2.39%"
"03/12/2019","19.26","20.52","20.89","19.12","1.63M","-5.73%"
"03/13/2019","19.97","19.30","20.25","19.23","756.59K","3.69%"
"03/14/2019","20.82","19.92","21.00","19.92","883.58K","4.26%"
"03/15/2019","21.82","20.99","22.19","20.89","2.69M","4.80%"
"03/18/2019","22.18","21.74","22.22","21.22","1.25M","1.65%"
"03/19/2019","20.35","22.47","22.60","20.18","976.10K","-8.25%"
"03/20/2019","20.00","20.41","20.98","19.90","985.30K","-1.72%"
"03/21/2019","19.34","20.00","20.25","19.21","860.51K","-3.30%"
"03/22/2019","19.00","19.38","19.70","18.75","579.50K","-1.76%"
"03/25/2019","19.40","19.00","19.59","18.21","671.67K","2.11%"
"03/26/2019","19.90","19.61","19.94","19.24","393.88K","2.58%"
"03/27/2019","19.27","20.08","20.08","18.89","602.64K","-3.17%"
"03/28/2019","19.66","19.30","19.74","19.00","453.59K","2.02%"
"03/29/2019","20.35","19.87","20.80","19.47","660.85K","3.51%"
"04/01/2019","20.59","20.54","20.91","20.04","547.57K","1.18%"
"04/02/2019","19.70","20.68","20.68","19.54","546.57K","-4.32%"
