"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2021","111.73","107.23","113.63","103.26","22.44M","6.95%"
"01/05/2021","109.18","113.82","114.98","107.20","15.45M","-2.28%"
"01/06/2021","116.26","111.11","116.93","110.28","21.59M","6.48%"
"01/07/2021","115.09","120.10","122.82","112.13","20.61M","-1.01%"
"01/08/2021","112.75","116.52","117.71","111.49","12.38M","-2.03%"
"01/11/2021","117.26","112.75","121.24","112.62","16.65M","4.00%"
"01/12/2021","124.55","117.93","124.91","117.12","15.30M","6.22%"
"01/13/2021","124.06","123.70","127.58","120.74","14.32M","-0.39%"
"01/14/2021","129.72","122.80","130.98","122.80","13.35M","4.56%"
"01/15/2021","129.65","129.60","133.29","126.58","15.77M","-0.05%"
"01/19/2021","125.01","122.10","126.36","120.50","16.53M","-3.58%"
"01/20/2021","125.14","124.51","126.01","122.25","8.00M","0.10%"
"01/21/2021","132.98","125.28","137.00","125.25","20.88M","6.26%"
"01/22/2021","131.02","132.50","135.87","128.90","10.07M","-1.47%"
"01/25/2021","147.00","138.40","147.43","137.25","26.97M","12.20%"
"01/26/2021","151.93","145.15","154.55","145.00","16.96M","3.35%"
"01/27/2021","155.73","151.20","164.55","149.00","20.26M","2.50%"
"01/28/2021","159.55","154.10","168.00","153.62","16.50M","2.45%"
"01/29/2021","173.16","174.99","185.98","166.20","39.69M","8.53%"
"02/01/2021","157.48","173.03","174.50","154.30","22.06M","-9.06%"
"02/02/2021","158.58","158.52","159.05","147.10","14.92M","0.70%"
"02/03/2021","165.86","156.60","168.39","156.40","11.36M","4.59%"
"02/04/2021","173.31","166.42","173.73","164.25","10.62M","4.49%"
"02/05/2021","176.24","170.99","177.50","170.26","8.99M","1.69%"
"02/08/2021","185.98","177.00","189.26","176.81","12.94M","5.53%"
"02/09/2021","179.52","186.21","187.00","177.27","8.40M","-3.47%"
"02/10/2021","179.34","182.74","185.22","176.37","7.07M","-0.10%"
"02/11/2021","183.44","178.29","184.22","176.20","5.46M","2.29%"
"02/12/2021","183.74","184.89","185.00","177.58","5.71M","0.16%"
"02/16/2021","178.53","182.41","184.18","173.51","6.92M","-2.84%"
"02/17/2021","176.76","174.28","178.01","171.62","6.55M","-0.99%"
"02/18/2021","169.57","171.59","175.47","168.00","5.12M","-4.07%"
"02/19/2021","174.74","173.54","179.30","170.53","6.41M","3.05%"
"02/22/2021","159.37","167.80","170.35","158.58","11.15M","-8.80%"
"02/23/2021","150.17","151.25","153.00","136.00","15.51M","-5.77%"
"02/24/2021","144.79","150.41","151.00","143.47","9.76M","-3.58%"
"02/25/2021","148.38","150.78","160.98","145.86","15.17M","2.48%"
"02/26/2021","154.81","157.98","159.60","150.88","13.45M","4.33%"
"03/01/2021","157.40","154.46","157.78","145.25","15.35M","1.67%"
"03/02/2021","146.81","153.50","154.47","146.44","8.63M","-6.73%"
"03/03/2021","131.22","146.09","147.32","131.00","13.68M","-10.62%"
"03/04/2021","132.30","128.70","135.47","126.69","10.93M","0.82%"
"03/05/2021","132.19","133.07","134.27","121.12","12.04M","-0.08%"
"03/08/2021","123.47","129.15","133.55","122.48","6.84M","-6.60%"
"03/09/2021","130.87","127.11","132.30","125.60","7.83M","5.99%"
"03/10/2021","129.75","133.62","135.71","128.79","5.56M","-0.86%"
"03/11/2021","140.47","132.98","140.85","131.48","8.14M","8.26%"
"03/12/2021","136.99","134.04","138.74","133.20","4.92M","-2.48%"
"03/15/2021","143.66","136.77","143.85","135.01","7.36M","4.87%"
"03/16/2021","156.02","148.50","157.75","145.84","16.99M","8.60%"
"03/17/2021","147.55","150.25","152.08","143.25","12.89M","-5.43%"
"03/18/2021","141.46","144.45","147.61","140.86","7.14M","-4.13%"
"03/19/2021","143.74","143.06","145.18","138.53","6.93M","1.61%"
"03/22/2021","145.60","144.19","147.92","141.85","6.05M","1.29%"
"03/23/2021","136.52","145.61","146.19","136.38","6.96M","-6.24%"
"03/24/2021","131.61","137.25","137.74","131.01","5.86M","-3.60%"
"03/25/2021","133.33","127.33","134.31","126.42","5.70M","1.31%"
"03/26/2021","133.28","133.38","135.60","128.02","4.05M","-0.04%"
"03/29/2021","123.42","130.11","131.30","121.90","10.81M","-7.40%"
"03/30/2021","118.49","123.15","123.60","117.34","11.06M","-3.99%"
"03/31/2021","130.95","121.10","131.80","119.33","10.02M","10.52%"
"04/01/2021","132.55","132.20","136.64","130.34","7.27M","1.22%"
"04/05/2021","129.91","132.60","133.19","127.04","5.22M","-1.99%"
"04/06/2021","133.53","130.11","138.25","128.16","7.44M","2.79%"
"04/07/2021","131.47","132.37","135.16","130.21","4.38M","-1.54%"
"04/08/2021","133.88","132.85","135.90","132.06","4.53M","1.83%"
"04/09/2021","140.92","133.51","144.00","133.34","9.92M","5.26%"
"04/12/2021","139.40","142.37","143.49","136.36","6.06M","-1.08%"
"04/13/2021","149.71","146.80","152.11","145.35","13.73M","7.40%"
"04/14/2021","160.03","153.66","160.92","152.49","15.39M","6.89%"
"04/15/2021","159.87","159.00","163.58","155.23","10.34M","-0.10%"
"04/16/2021","170.81","158.68","171.92","158.21","19.04M","6.84%"
"04/19/2021","161.91","166.61","168.20","159.60","10.01M","-5.21%"
"04/20/2021","156.78","160.32","162.73","153.27","7.15M","-3.17%"
"04/21/2021","169.50","158.60","170.11","157.69","11.35M","8.11%"
"04/22/2021","168.10","168.26","179.00","164.62","15.92M","-0.83%"
"04/23/2021","173.63","170.30","175.51","168.35","8.86M","3.29%"
"04/26/2021","177.61","171.79","179.60","168.88","12.20M","2.29%"
"04/27/2021","183.41","178.36","185.53","178.18","12.93M","3.27%"
"04/28/2021","178.68","182.37","182.89","176.12","8.38M","-2.58%"
"04/29/2021","175.67","183.33","186.80","174.76","8.36M","-1.68%"
"04/30/2021","178.82","175.59","184.00","174.52","9.50M","1.79%"
"05/03/2021","186.02","183.90","189.00","182.21","14.63M","4.03%"
"05/04/2021","173.59","185.33","188.49","171.63","16.92M","-6.68%"
"05/05/2021","162.84","178.10","180.70","156.81","18.91M","-6.19%"
"05/06/2021","160.50","148.00","163.47","143.56","29.66M","-1.44%"
"05/07/2021","163.15","165.78","169.02","160.82","11.95M","1.65%"
"05/10/2021","158.55","164.01","164.76","155.71","8.81M","-2.82%"
"05/11/2021","158.99","151.31","161.99","150.06","8.09M","0.28%"
"05/12/2021","152.68","154.11","158.91","151.15","5.72M","-3.97%"
"05/13/2021","149.87","152.60","155.62","146.85","5.77M","-1.84%"
"05/14/2021","161.38","150.85","162.46","150.40","6.51M","7.68%"
"05/17/2021","160.43","159.00","163.37","156.72","4.23M","-0.59%"
"05/18/2021","159.53","160.16","165.75","157.90","4.81M","-0.56%"
"05/19/2021","157.99","155.74","160.07","154.51","3.94M","-0.97%"
"05/20/2021","165.97","159.92","166.81","158.89","4.83M","5.05%"
"05/21/2021","161.45","168.93","169.28","161.35","5.17M","-2.72%"
"05/24/2021","164.17","162.88","166.80","161.01","4.50M","1.68%"
"05/25/2021","169.26","166.56","171.74","165.10","7.76M","3.10%"
"05/26/2021","175.59","168.70","175.62","168.51","6.89M","3.74%"
"05/27/2021","179.54","174.20","180.00","173.63","10.84M","2.25%"
"05/28/2021","185.01","178.62","186.64","178.36","8.57M","3.05%"
"06/01/2021","184.66","184.08","185.28","178.80","6.01M","-0.19%"
"06/02/2021","191.60","183.90","194.50","183.28","10.14M","3.76%"
"06/03/2021","195.22","188.89","200.00","188.63","9.27M","1.89%"
"06/04/2021","206.07","197.90","207.38","197.33","11.10M","5.56%"
"06/07/2021","219.57","207.10","227.71","206.42","19.03M","6.55%"
"06/08/2021","213.00","220.10","222.34","202.50","11.86M","-2.99%"
"06/09/2021","217.44","212.30","221.50","212.01","8.02M","2.08%"
"06/10/2021","217.00","216.62","221.88","207.70","11.76M","-0.20%"
"06/11/2021","218.85","211.90","218.90","211.80","5.58M","0.85%"
"06/14/2021","207.41","213.27","213.49","198.00","11.74M","-5.23%"
"06/15/2021","201.59","203.49","207.85","199.20","6.79M","-2.81%"
"06/16/2021","197.84","200.00","203.98","193.20","7.26M","-1.86%"
"06/17/2021","202.47","200.00","203.92","197.72","4.96M","2.34%"
"06/18/2021","199.19","201.39","204.84","194.51","6.66M","-1.62%"
"06/21/2021","208.24","200.86","211.04","200.00","7.42M","4.54%"
"06/22/2021","221.36","210.76","222.40","210.25","10.07M","6.30%"
"06/23/2021","212.04","219.98","224.57","205.55","14.56M","-4.21%"
"06/24/2021","220.14","214.38","221.49","213.46","8.17M","3.82%"
"06/25/2021","219.94","221.26","226.51","216.33","13.32M","-0.09%"
"06/28/2021","222.94","223.00","225.09","215.60","6.19M","1.36%"
"06/29/2021","234.46","221.19","238.40","219.33","11.42M","5.17%"
"06/30/2021","234.98","237.98","245.70","232.41","9.32M","0.22%"
"07/01/2021","235.11","236.30","236.71","227.67","5.93M","0.06%"
"07/02/2021","234.30","235.10","238.90","230.14","4.20M","-0.34%"
"07/06/2021","233.34","229.62","234.60","225.43","4.96M","-0.41%"
"07/07/2021","221.90","231.76","231.86","220.82","4.89M","-4.90%"
"07/08/2021","232.79","215.66","233.41","214.07","8.72M","4.91%"
"07/09/2021","232.81","231.96","233.80","224.28","5.31M","0.01%"
"07/12/2021","239.34","230.98","242.39","229.20","6.94M","2.80%"
"07/13/2021","235.15","239.14","239.82","233.80","4.19M","-1.75%"
"07/14/2021","246.66","237.24","249.92","237.22","9.42M","4.89%"
"07/15/2021","259.67","246.66","261.22","245.51","15.13M","5.28%"
"07/16/2021","286.43","276.92","288.88","271.50","41.40M","10.30%"
"07/19/2021","313.59","284.54","317.88","283.14","35.53M","9.48%"
"07/20/2021","307.33","318.22","342.51","292.00","123.12M","-2.00%"
"07/21/2021","321.11","298.51","325.88","293.62","30.86M","4.48%"
"07/22/2021","323.48","319.00","329.60","316.29","16.49M","0.74%"
"07/23/2021","348.83","330.90","349.45","325.17","23.43M","7.84%"
"07/26/2021","335.87","352.00","362.00","329.15","23.39M","-3.72%"
"07/27/2021","328.50","335.31","344.89","318.29","17.20M","-2.19%"
"07/28/2021","349.32","333.01","350.99","327.50","13.09M","6.34%"
"07/29/2021","345.64","350.64","351.22","336.00","10.10M","-1.05%"
"07/30/2021","353.60","346.90","359.90","342.28","11.35M","2.30%"
"08/02/2021","346.61","360.00","365.60","343.20","13.69M","-1.98%"
"08/03/2021","386.51","348.50","386.98","344.50","20.42M","11.51%"
"08/04/2021","419.05","385.00","433.00","377.11","32.25M","8.42%"
"08/05/2021","416.26","409.72","443.99","403.00","25.57M","-0.67%"
"08/06/2021","413.72","410.30","419.26","393.61","18.92M","-0.61%"
"08/09/2021","484.47","411.30","493.76","409.66","42.27M","17.10%"
"08/10/2021","456.76","485.50","497.49","454.00","36.50M","-5.72%"
"08/11/2021","385.33","443.57","453.73","372.00","53.88M","-15.64%"
"08/12/2021","391.42","400.00","406.35","377.09","34.35M","1.58%"
"08/13/2021","389.78","405.24","406.32","387.10","16.53M","-0.42%"
"08/16/2021","373.86","379.27","379.57","349.00","23.60M","-4.08%"
"08/17/2021","401.86","361.00","402.49","358.55","25.98M","7.49%"
"08/18/2021","398.80","406.50","413.30","386.21","19.12M","-0.76%"
"08/19/2021","375.53","385.00","394.92","375.00","14.25M","-5.84%"
"08/20/2021","382.98","374.55","387.49","369.26","13.22M","1.98%"
"08/23/2021","411.89","390.34","411.97","385.77","15.80M","7.55%"
"08/24/2021","394.94","405.69","407.58","387.56","13.96M","-4.12%"
"08/25/2021","397.87","391.70","413.80","387.97","14.43M","0.74%"
"08/26/2021","400.30","395.45","404.67","392.15","8.90M","0.61%"
"08/27/2021","382.22","398.83","398.98","378.72","13.19M","-4.52%"
"08/30/2021","370.69","369.00","389.04","362.80","15.53M","-3.02%"
"08/31/2021","376.69","375.91","384.68","370.50","10.92M","1.62%"
"09/01/2021","389.94","382.84","394.98","375.20","11.62M","3.52%"
"09/02/2021","397.66","393.13","402.80","390.52","8.91M","1.98%"
"09/03/2021","416.70","392.71","416.81","388.68","13.86M","4.79%"
"09/07/2021","436.39","409.50","438.55","408.96","16.00M","4.73%"
"09/08/2021","422.90","433.72","437.17","418.20","11.48M","-3.09%"
"09/09/2021","455.92","429.93","459.42","427.09","22.19M","7.81%"
"09/10/2021","449.38","463.16","464.85","448.11","12.60M","-1.43%"
"09/13/2021","419.72","448.00","448.81","415.00","15.66M","-6.60%"
"09/14/2021","427.71","419.27","443.76","418.63","14.74M","1.90%"
"09/15/2021","434.46","427.45","437.80","422.16","12.89M","1.58%"
"09/16/2021","440.65","431.21","446.64","429.00","10.11M","1.42%"
"09/17/2021","430.05","438.53","442.00","406.87","30.54M","-2.41%"
"09/20/2021","423.33","417.51","435.45","416.51","12.93M","-1.56%"
"09/21/2021","434.04","424.30","439.59","420.30","9.36M","2.53%"
"09/22/2021","440.72","433.09","443.73","428.60","9.00M","1.54%"
"09/23/2021","454.60","439.79","458.50","438.79","9.62M","3.15%"
"09/24/2021","430.14","448.08","453.61","426.61","12.98M","-5.38%"
"09/27/2021","408.84","430.60","434.00","407.26","13.35M","-4.95%"
"09/28/2021","384.21","398.56","403.30","376.03","15.94M","-6.02%"
"09/29/2021","378.90","393.21","397.98","375.55","11.42M","-1.38%"
